block_timestamp,supply_rates,borrow_rates,prices_usd,total_supply_history,total_borrows_history
1590285092,0.007934542887599103,0.04130930061993526,1.000000,1485347663.90723638,6419501.719552724638
1590370601,0.008617036366141253,0.042486588010567254,1.000000,1413015728.99376136,6436195.476403089320
1590456110,0.009822429740832543,0.044494865983142486,1.000000,1307062509.12209422,6492121.954655613725
1590541619,0.010216360431260021,0.04512840642495283,1.000000,1279973443.06319704,6524712.134627717617
1590627129,0.0098737485914899,0.04456581681906212,1.000000,1331452164.46217147,6620617.282779920495
1590712638,0.010778613528351442,0.045929587273081954,1.000000,1262086192.72245563,6576274.895174739437
1590798147,0.011885676004745174,0.047674804568875996,1.000000,1158444220.21970475,6499432.964514297003
1590883656,0.012230764509032804,0.04809418639900733,1.000000,1142769878.18487194,6458312.196751729469
1590969166,0.0166406244872872,0.05416807063885921,1.000000,953870602.24478281,6607607.840691006250
1591054675,0.014501543432113038,0.05136122726137116,1.000000,1044398575.51243170,6635558.423561913386
1591140184,0.014360016963070786,0.05117708991610111,1.000000,1079928993.87881027,6828225.031466864754
1591225693,0.01711644743883624,0.054724609164388205,1.000000,1006070912.45438236,7052003.885982212500
1591311203,0.019669035598391223,0.057848981255522985,1.000000,931209105.34992196,7140062.404260576441
1591396712,0.020655994647082974,0.05900625262096546,1.000000,947906799.81718032,7486147.293565235732
1591482221,0.019782042326486147,0.05796833001624979,1.000000,972556202.62863800,7465455.831346839858
1591567731,0.018078039494259856,0.055940364604859114,1.000000,1028408555.44957362,7473222.610233900000
1591653240,0.016197998690711174,0.05348437655621302,1.000000,1109688658.75637532,7451482.649117504817
1591738749,0.018715182495874803,0.056735884250230746,1.000000,1012006360.61006371,7532478.607452217158
1591824258,0.01755779833252818,0.05531086703370198,1.000000,1013652642.12976435,7255327.506119100244
1591909768,0.01652476991933105,0.05402828343411021,1.000000,1029120090.14881841,7101749.617740698701
1591995277,0.016319184507806273,0.05376655271839954,1.000000,1037305292.20334141,7103929.873414758333
1592080786,0.016345334857995737,0.053799535659084616,1.000000,1036755514.63725892,7107277.973252141176
1592166295,0.016580763235147445,0.054099090513497254,1.000000,1028549682.53643627,7113446.484874430809
1592251805,0.017443806231047222,0.05518133705045188,1.000000,1007043743.54457729,7184499.901013606061
1592337314,0.016891474379161577,0.054492016237488554,1.000000,1028505938.18724517,7194813.504504050725
1592422823,0.015105379989837867,0.05210793378429628,1.000000,1061919752.68541097,6894186.481646135167
1592508333,0.011662929122579088,0.04735229741604,1.000000,1206080166.95431471,6699383.549963814815
1592593842,0.012412912699652305,0.048447042245002826,1.000000,1186520728.11968194,6846800.981608917832
1592679351,0.015052412746965652,0.052058335661803706,1.000000,1224184758.78995986,7988009.012454625000
1592764860,0.009036134557142179,0.042971273421724215,1.000000,1758986848.17604179,8038222.427232928068
1592850370,0.004837505406033237,0.03514386277623638,1.000000,2609904048.11902979,7842569.181053528602
1592935879,0.002971454134051267,0.030715878753746866,1.000000,3814315443.78829766,8116407.369256310502
1593021388,0.001878378253791184,0.02759149428227853,1.000000,5569666874.54472111,8346149.854831226006
1593106897,0.001287647221693071,0.025650180963944835,1.000000,7757845981.61614014,8609024.140315959073
1593192407,0.0013082174557439421,0.025731220067025037,1.000000,9205176160.96226498,10487747.866406542732
1593277916,0.0010119526451258178,0.024662459644695194,1.000000,9798621344.43663600,8997914.534919187804
1593363425,0.0009564885028836435,0.02445598544406642,1.000000,9660384817.46155827,8472708.447562459184
1593448935,0.001015927450562202,0.02468008198573668,1.000000,9937987606.08170578,9173969.594734192064
1593534444,0.00121513963664165,0.025403265283623612,1.000000,9379763358.82072828,10048307.744792618067
1593619953,0.0016285521740862056,0.026817017072853,1.000000,9511300802.13089141,12956786.580319570615
1593705462,0.0018078026643803301,0.02738253160684004,1.000000,9895457765.88886571,14621633.998764410234
1593790972,0.0014816011681446477,0.02633159204966814,1.000000,10702077131.13907200,13508394.814164516762
1593876481,0.001312013513816889,0.02575057168088553,1.000000,10854246575.11478057,12408448.744132053373
1593961990,0.0013395742405109122,0.025846424487013808,1.000000,10852391654.96749390,12618796.164667311962
1594047499,0.002683651390036021,0.029837332186088323,1.000000,11047492127.34096498,21934142.294796581704
1594133009,0.003873163525976881,0.0330288276375999,1.000000,10936508662.04780357,28736589.280518325623
1594218518,0.02086301880722595,0.057441557793541556,1.000000,15764603607.07685568,127600606.46633234
1594304027,0.028355630220439097,0.06731922170382265,1.000000,19518282334.70120035,185750699.49154597
1594389537,0.028296122137089198,0.06726420451659738,1.000000,20076327965.40280364,190800881.82825040
1594475046,0.027977096736772292,0.06694683759978208,1.000000,20353501360.70356535,192182194.24214207
1594560555,0.026098480386836438,0.06493145617761693,1.000000,19887470182.85102753,180492940.03904024
1594646064,0.017164573322736555,0.0549345473367759,1.000000,17500823513.98260090,123517456.32695821
1594731574,0.017584270494681822,0.05545088633606547,1.000000,17891267990.63835612,128123996.96014125
1594817083,0.016679375953381696,0.05432415918671527,1.000000,18931358349.66009516,131303037.46378853
1594902592,0.017149158290006794,0.054915618098350515,1.000000,19274404612.45462947,135988581.45107206
1594988101,0.017883482963374567,0.055830784552885385,1.000000,19782874331.84552209,143176128.22916808
1595073611,0.01765900495041741,0.05555347043293021,1.000000,19864622223.57166531,142677419.47038322
1595159120,0.017541565024189215,0.055407966075508894,1.000000,19751395851.42338167,141297515.89501479
1595244629,0.01778746206985855,0.05571178723139848,1.000000,19894068301.06252540,143535976.76907863
1595330139,0.018657022579233094,0.05676977261705216,1.000000,19972289481.42003381,148338120.33028471
